ts_iso,elapsed_s,class,kind,run_status,latency_s,ok,ans_chars,err
2026-05-29T11:20:56+00:00,959.6,normal,receipt_expense,completed,5.17,1,232,
2026-05-29T11:21:01+00:00,964.8,normal,receipt_expense,completed,12.82,1,503,
2026-05-29T11:21:14+00:00,977.6,adversarial,off_topic,completed,26.23,1,195,
2026-05-29T11:21:40+00:00,1003.9,normal,policy_question,completed,3.04,1,595,
2026-05-29T11:21:43+00:00,1006.9,adversarial,prompt_injection,content_filtered,0.60,1,0,BadRequestError: Error code: 400 - {'error': {'message': 'The response was filtered due to the prompt triggering Azure OpenAI’s content management policy. Please modify your prompt and retry. To learn
2026-05-29T11:20:56+00:00,960.1,normal,inline_summary,completed,60.90,1,89,
2026-05-29T11:21:57+00:00,1021.0,normal,plan_trip,completed,7.10,1,981,
2026-05-29T11:22:04+00:00,1028.1,edge,policy_question_long,completed,5.35,1,2438,
2026-05-29T11:20:54+00:00,957.3,normal,policy_question,completed,83.02,1,143,
2026-05-29T11:22:17+00:00,1040.3,edge,plan_trip_long,completed,12.57,1,3263,
2026-05-29T11:22:29+00:00,1052.9,normal,receipt_expense,completed,2.20,1,300,
2026-05-29T11:21:44+00:00,1007.5,adversarial,off_topic,completed,52.13,1,186,
2026-05-29T11:21:00+00:00,963.4,normal,policy_question,completed,101.26,1,198,
2026-05-29T11:22:41+00:00,1064.7,adversarial,pii_fishing,completed,2.02,1,233,
2026-05-29T11:22:31+00:00,1055.1,normal,policy_question,completed,13.95,1,82,
2026-05-29T11:22:43+00:00,1066.7,normal,policy_question,completed,16.01,1,160,
2026-05-29T11:22:10+00:00,1033.4,normal,policy_question,completed,59.05,1,212,
2026-05-29T11:22:45+00:00,1069.0,normal,plan_trip,completed,47.77,1,1373,
2026-05-29T11:22:36+00:00,1059.6,edge,typos,completed,93.79,1,112,
2026-05-29T11:23:33+00:00,1116.8,edge,typos,completed,39.76,1,231,
2026-05-29T11:24:13+00:00,1156.5,normal,receipt_expense,completed,2.11,1,239,
2026-05-29T11:24:15+00:00,1158.6,adversarial,prompt_injection,content_filtered,0.48,1,0,BadRequestError: Error code: 400 - {'error': {'message': 'The response was filtered due to the prompt triggering Azure OpenAI’s content management policy. Please modify your prompt and retry. To learn
2026-05-29T11:24:15+00:00,1159.1,normal,plan_trip,completed,14.16,1,1058,
2026-05-29T11:22:59+00:00,1082.7,normal,policy_question,completed,101.21,1,198,
2026-05-29T11:23:09+00:00,1092.5,normal,policy_question,completed,91.84,1,320,
2026-05-29T11:24:10+00:00,1153.4,normal,policy_question,completed,32.95,1,732,
2026-05-29T11:24:43+00:00,1186.3,normal,plan_trip,completed,3.63,1,531,
2026-05-29T11:24:46+00:00,1190.0,adversarial,policy_violation_request,completed,2.31,1,264,
